index,選挙区名,議員氏名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,home_page_url,生年月日,性別,任期満了,読み方,会派,当選回数,＜正字＞,
1,南関東,青柳 陽一郎,@aoyagy,あおやぎ陽一郎（衆議院議員）,3531,510,@aoyagy,【公式】青柳陽一郎　あおチャンネル,201,30,https://aoyagy.net/,1969年8月29日,1,,あおやぎ よういちろう,立憲,4,,
2,東海,青山 周平,@ao_shu_office,あおやま周平@衆議院議員,3048,463,,,,,https://aoyama-shuhei.jp/,1977年4月28日,1,,あおやま しゅうへい,自民,4,,
3,北関東,青山 大人,@aoyamayamato,青山大人(あおやまやまと)衆議院議員＠茨城6区,4010,785,@aoyamayamato,【公式】衆議院議員青山大人,427,25,https://www.aoyamayamato.net/,1979年1月24日,1,,あおやま やまと,立憲,2,,
4,近畿,赤木 正幸,@akagimasayuki,赤木まさゆき（赤木正幸）,83,59,@user-qs8if7dm7v,赤木正幸,,1,https://akamasa.com/,1975年2月22日,1,,あかぎ まさゆき,維新,1,,
5,東北,秋葉 賢也,@akibakenya,秋葉賢也(あきばけんや),8694,204,@kenyaakiba,衆議院議員 秋葉賢也 Kenチャンネル !,175,84,,1962年7月3日,1,,あきば けんや,自民,7,,
6,南関東,秋本 真利,,,,,,,,,,1975年8月10日,1,,あきもと まさとし,無,4,,収賄容疑，外務政務官を辞任している23.08.04
7,南関東,浅川 義治,@asakawayosiharu,浅川義治|日本維新の会衆議院議員　神奈川1区(横浜市中区・磯子区・金沢区)神奈川維新の会幹事長,2538,1905,@user-ku6it1rl2m,あさちゃん【衆議院議員 浅川義治 日本維新の会 神奈川1区】,62,43,https://www.asakawayoshiharu.com/,1968年2月23日,1,,あさかわ よしはる,維新,1,,
8,中国,畦元 将吾,,,,,@user-si1hl5xq3u,あぜもとしょうご,4,0,https://azemoto.jp/,1958年4月30日,1,,あぜもと しょうご,自民,2,,
9,東京,阿部 司,@abe2kasa,阿部 司(衆議院議員/東京12区/日本維新の会),4238,1065,@abeccho,あべチャンネル【阿部司 公式チャンネル】【日本維新の会所属 衆議院議員】,1140,196,https://www.abetsukasa.jp/,1982年6月18日,1,,あべ つかさ,維新,1,,
10,中国,あべ 俊子,@abetoshiko,あべ俊子 Toshiko Abe ⚘,7570,519,@user-ik9rn6nk4o,あべ俊子事務所,182,56,https://www.abetoshiko.com/,1959年5月19日,2,,あべ としこ,自民,6,,
11,九州,阿部 弘樹,@HirokiAbe1961,あべひろき【日本維新の会 衆議院 福岡4区】,832,286,,,,,https://hirokiabe.jp/,1961年12月15日,1,,あべ ひろき,維新,1,,
12,南関東,甘利 明,@Akira_Amari,甘利 明,69400,178,@AkiraAmari,甘利 明,676,57,https://amari-akira.com/,1949年8月27日,1,,あまり あきら,自民,13,,
13,北海道,荒井 優,@araiyutaka,荒井ゆたか@与野党唯一の校長出身国会議員,4344,1346,,,,,https://araiyutaka.jp/,1975年2月28日,1,,あらい ゆたか,立憲,1,,LINE公式アカウントあり
14,北関東,五十嵐 清,,,,,,,,,https://kiyoshi-igarashi.com/,1969年12月14日,1,,いがらし きよし,自民,1,,
15,東海,池田 佳隆,@ikeda_0620,池田よしたか│前文部科学副大臣,6753,289,@ikedayoshitaka,池田よしたか,10,4,https://xs311218.xsrv.jp/ikeda/,1966年6月20日,1,,いけだ よしたか,自民,4,,
16,近畿,池畑 浩太朗,"@VGZ20ydBf5ouj4c
",池畑こうたろう,842,804,@user-kn3tq5vm6q,池畑浩太朗,42,1,https://ikehata-koutarou.jp/,1974年9月26日,1,,いけはた こうたろう,維新,1,,
17,北関東,石井 啓一,@keiichi_ishii_,石井啓一,7984,122,@user-fg7jc2sq3v,石井啓一チャンネル,2280,13,https://www.k1-ishii.com/,1958年3月20日,1,,いしい けいいち,公明,10,,
18,東海,石井 拓,@takuishii,石井拓,599,57,@user-ji8hz8cz6q,#141 石井拓チャンネル,138,95,https://141taku.com/,1965年4月11日,1,,いしい たく,自民,1,,
19,北関東,石川 昭政,@iakimasa1,石川あきまさ,8636,735,,,,,https://profile.ameba.jp/ameba/ishikawa-akimasa/,1972年9月18日,1,,いしかわ あきまさ,自民,4,,HPはAmebaのブログ
20,中国,石橋 林太郎,@1484_Rintaro,石橋林太郎 ISHIBASHI Rintaro（衆議院議員）,1934,627,,,,,https://ishibashirintaro.com/,1978年5月2日,1,,いしばし りんたろう,自民,1,,
21,東京,石原 宏高,"@ishiharahirotak
",石原ひろたか　東京3区,5822,275,@hirotaka0619channel,衆議院議員 石原ひろたか,38,87,https://www.ishihara-hirotaka.com/,1964年6月19日,1,,いしはら ひろたか,自民,5,,
22,東海,石原 正敬,@fu_un17,石原まさたか公式ツイッター,409,107,@user-ng1ug8eg1v,風雲放談チャンネル,10,4,https://fu-un.org/,1971年11月29日,1,,いしはら まさたか,自民,1,,
23,北陸信越,泉田 裕彦,@IzumidaHirohiko,泉田 裕彦,70900,208,@user-bf5eq4me2h,泉田ひろひこ,23,1,http://www.h-izumida.jp/,1962年9月15日,1,,いずみだ ひろひこ,自民,2,,
24,近畿,一谷 勇一郎,@y_ichitani,一谷　勇一郎　(衆議院議員　兵庫1区　日本維新の会),2073,549,@y_ichitani,[公式] 一谷 勇一郎 メディアチャンネル,186,116,https://www.nippon-ishin-kobe-ichitani.jp/,1975年1月22日,1,,いちたに ゆういちろう,維新,1,,
25,東京,伊藤 俊輔,@shun76450,伊藤しゅんすけ(ItoShunsuke),12400,10800,@TV-rp4sc,TV伊藤しゅんすけ,91,68,https://i-shunsuke.com/,1979年8月5日,1,,いとう しゅんすけ,立憲,2,,
26,東海,伊藤 渉,@ito_wataru,伊藤わたる（衆議院議員）,10300,3647,@itowatarucom,伊藤わたる,740,92,https://ito-wataru.com/,1969年11月13日,1,,いとう わたる,公明,5,,
27,九州,稲富 修二,@inatomishuji,いなとみ修二,1496,226,@ShujiInatomi,稲富修二（いなとみしゅうじ）,279,116,https://inatomi.jp/,1970年8月26日,1,,いなとみ しゅうじ,立憲,3,,
28,九州,今村 雅弘,,,,,,,,,http://imamura-masahiro.jp/,1947年1月5日 ,1,,いまむら まさひろ,自民,9,,
29,九州,岩田 和親,@Kazuchika_Iwata,岩田かずちか＠経済産業副大臣・自民党・佐賀1区,6976,3278,@user-cj8xu9vn3k,岩田かずちかチャンネル,420,611,,1973年9月20日,1,,いわた かずちか,自民,4,,
30,東北,上杉 謙太郎,@uesugi_jimusyo,上杉けんたろう 衆議院議員 スタッフページ,651,47,@user-zf4xk3dl2l,上杉けんたろう 衆議院議員　スタッフチャンネル,49,14,https://uesugi.fukushima.jp/,1975年4月20日,1,,うえすぎ けんたろう,自民,2,,
31,近畿,浮島 智子,@Tomo_Ukishima,浮島とも子,16600,103,,,,,https://www.t-ukishima.net/,1963年2月1日,2,,うきしま ともこ,公明,4,,
32,近畿,遠藤 良太,@endoryota_,遠藤良太（ 衆議院議員 / 日本維新の会 / 兵庫5区 ）,1450,498,,,,,https://endoryota.jp/,1984年12月19日,1,,えんどう りょうた,維新,1,,
33,近畿,大石 あきこ,@oishiakiko,大石あきこ(れいわ新選組)Akiko Oishi,102800,1010,@oishiakiko,れいわ新選組 大石あきこチャンネル,36100,337,https://www.oishiakiko.net/,1977年5月27日,2,,おおいし あきこ,れ新,1,,
34,東京,大河原まさこ,@Waku2_ookawara,大河原まさこ(りっけん)東京21区総支部長（大河原雅子）,4550,1306,@user-ne6on4ji2v,大河原まさこ,75,60,https://ookawaramasako.com/,1953年4月8日,2,,おおかわら まさこ,立憲,2,,
35,近畿,大串 正樹,@Ogushi_Masaki,大串まさき（衆議院議員）,6651,289,@regioncreate2457,regioncreate,5,23,https://m-ogushi.com/,1966年1月20日,1,,おおぐし まさき,自民,4,,
36,東海,大口 善徳,@90Xotfe,大口善徳,3334,1353,,,,,http://www.oguchi.gr.jp/,1955年9月5日,1,,おおぐち よしのり,公明,9,,
37,北海道,おおつき紅葉,@kurehaotsuki,【公式】おおつき 紅葉🍁北海道4区とともに,2375,1190,@ch-dp8qn,おおつきくれは放送局【公式ch】,382,56,https://kurehaotsuki.jp/,1983年10月16日,2,,おおつき くれは,立憲,1,,
38,東北,岡本 あき子,@a_okamotooffice,岡本あき子💙💛（衆議院議員／宮城１区）,4090,160,@user-fb4el7kq4l,岡本あき子 衆議院議員 #あきチャンネル,147,31,https://okamotoakiko.net/,1964年8月16日,2,,おかもと あきこ,立憲,2,,
39,近畿,奥野 信亮,,,,,,,,,https://www.okunoshinsuke.jp/,1944年3月5日,1,,おくの しんすけ,自民,6,,
40,九州,小里 泰弘,@ozato_yasuhiro,小里泰弘(小里やすひろ)【自民党/衆議院議員/鹿児島3区】,794,399,@user-ki4lv3di5q,小里泰弘,3,2,https://t.co/rgVIAUkP52,1958年9月29日,1,,おざと やすひろ,自民,6,,
41,東北,小沢 一郎,@ozawa_jimusho,小沢一郎（事務所）,265400,22100,@ozawaichiroujimusho,ozawaichiroujimusho,958,23,https://www.ozawa-ichiro.jp/,1942年5月24日,1,,おざわ いちろう,立憲,18,,
42,東京,越智 隆雄,@ochitakao,おちたかお(越智隆雄)【東京6区】,4714,260,@user-sh5hy5jj2d,おちたかお の「おっちゃんねる」,215,87,https://ochi-takao.jp/,1964年2月27日,1,,おち たかお,自民,5,,
43,東京,小野 泰輔,@taisukeono,小野たいすけ｜衆議院議員｜東京7区 ｜日本維新の会,28800,1976,@user-wy3ou3mw4f,小野たいすけ【公式】チャンネル,25400,116,https://ono-taisuke.info/,1974年4月20日,1,,おの たいすけ,維新,1,,
44,北関東,尾身 朝子,@asako_omi,尾身朝子,2009,324,,,,,https://asako-omi.jp/,1961年4月26日,2,,おみ あさこ,自民,3,,
45,東京,海江田 万里,@banrikaieda,海江田万里(事務所),8234,122,@banrikaieda,海江田万里,175,181,https://kaiedabanri.jp/,1949年2月26日,1,,かいえだ ばんり,無,8,,
46,東京,笠井 亮,@akibacsi,笠井あきら,23900,4066,,,,,https://www.kasai-akira.jp/,1952年10月15日,1,,かさい あきら,共産,6,,
47,東京,河西 宏一,"@kasai_koichi
",河西宏一（かさい こういち）【比例東京ブロック選出】,4492,1144,,,,,https://koichi-kasai.jp/,1979年6月25日,1,,かさい こういち,公明,1,,
48,南関東,門山 宏哲,@kado_support,門山ひろあき（千葉1区）応援,47,35,@kadoyamahiroaki,kadoyamahiroaki,10,11,https://www.kadoyama.net/,1964年9月3日,1,,かどやま ひろあき,自民,4,,
49,東北,金田 勝年,@katutosh555,かねだ勝年（公式）,736,543,@kkaneda-2737,k kaneda-,3,1,http://www.kaneda-k.com/,1949年10月4日,1,,かねだ かつとし,自民,5,,youtube公式か？？
50,南関東,金村 龍那,,,,,@kanemura_you,りゅうなチャンネル【衆議院議員 金村りゅうな】,318,41,https://ryuna-kanemura.jp/,1979年4月6日,1,,かねむら りゅうな,維新,1,,
51,北海道,神谷 裕,@kamiyahokkaido,神谷ひろし　立憲民主党衆議院議員（北海道10区）,693,20,,,,,https://kamiya-hiroshi.jp/,1968年8月10日,1,,かみや ひろし,立憲,2,,
52,東北,亀岡 偉民,@kameokayositami,亀岡偉民（よしたみ）,3844,2069,@kame-channel-yoshitami,かめチャンネル【亀岡よしたみ公式チャンネル】,306,140,https://www.kameokayoshitami.com/,1955年9月10日,1,,かめおか よしたみ,自民,5,,
53,東北,菅家 一郎,@kanke_ichirou,菅家　一郎,1564,0,@kanke16,菅家一郎 公式チャンネル,84,98,https://kanke-ichiro.jp/,1955年5月20日,1,,かんけ いちろう,自民,4,,
54,九州,金城 泰邦,@yasukunikinjou,金城泰邦（きんじょうやすくに）,1612,969,@user-kl8eq5bi9x,金城ヤスクニ,138,10,https://www.komei.or.jp/km/urasoe-kinjo-yasukuni/,1969年7月16日,1,,きんじょう やすくに,公明,1,,
55,中国,日下 正喜,@komei_kusaka,【公明党】日下正喜,900,221,,,,,https://www.komei.or.jp/km/kusaka-masaki/,1965年11月25日,1,,くさか まさき,公明,1,,
56,東京,櫛渕 万里,@kushibuchi,くしぶち万里 れいわ新選組 衆議院議員,29500,375,@kushibuchi,万里櫛渕,217,24,https://kushibuchi-mari.jp/,1967年10月15日,2,,くしぶち まり,れ新,2,,
57,北陸信越,国定 勇人,@kunisadaisato,国定勇人（くにさだいさと）,5469,95,@user-jj4ex4zp9w,【 国定勇人ちゃんねる ーくにちゃんー 】,522,94,https://kunisada-sanjo.com/,1972年8月30日,1,,くにさだ いさと,自民,1,,
58,北陸信越,神津 たけし,@kozutakeshi,神津たけし 衆議院議員（長野3区）,1168,1858,,,,,https://www.kozu88.com/,1977年1月21日,1,,こうづ たけし,立憲,1,,
59,近畿,穀田 恵二,@kokutakeiji,穀田恵二,2500,125,@user-tx4zx7ko6f,こくた恵二,78,60,http://www.kokuta-keiji.jp/,1947年1月11日,1,,こくた けいじ,共産,10,,
60,九州,國場 幸之助,@kokubkonosuke,國場幸之助（コクバ幸之助・国場幸之助),5227,3058,@kokuba2014,コクバ幸之助,26,8,https://www.konosuke.com/,1973年1月10日,1,,こくば こうのすけ,自民,4,,
61,中国,小島 敏文,@kojimatoshifumi,小島 敏文,19,0,@user-ij8pt6ng9j,動画チャンネル,19,35,https://www.kojima-toshifumi.jp/,1950年9月7日,1,,こじま としふみ,自民,4,,
62,北関東,輿水 恵一,@koshimizu_k1,輿水恵一　【公明党】北関東ブロック,3710,108,,,,,https://t.co/UvnzSEx6rg,1962年2月4日,1,,こしみず けいいち,公明,3,,
63,近畿,小林 茂樹,@ShigekiNara,小林しげき,9055,286,@user-py8nl5gl2x,小林しげきチャンネル,474,186,https://t.co/OBzYkk538B,1964年10月9日,1,,こばやし しげき,自民,3,,
64,北関東,小宮山 泰子,@komiyama_yasko,小宮山泰子　立憲民主党,4394,54,@user-ur6qk3zk8f,小宮山泰子（こみやまやすこ）,126,186,https://t.co/Ug4ank8udn,1965年4月25日,2,,こみやま やすこ,立憲,7,,
65,北陸信越,近藤 和也,@kondokazuya_,近藤和也,3182,1935,@user-yy2bm8hh9h,こんどう和也,119,77,https://t.co/XkiRHTVQ6t,1973年12月12日,1,,こんどう かずや,立憲,3,,
66,近畿,斎藤アレックス,@AlexSaito2019,斎藤アレックス（国民民主党🐰衆議院議員）,2993,347,@user-cz3xb7qm5h,斎藤アレックスYouTubeチャンネル,454,108,https://t.co/EhZKMakhYo,1985年6月30日,1,,さいとう あれっくす,国民,1,,
67,北関東,坂本 祐之輔,@yunosuke_waka,坂本ゆうのすけ,1853,574,@sakamotoyunosuke,sakamotoyunosuke,25,110,https://sakamoto-yunosuke.jp/,1955年1月30日,1,,さかもと ゆうのすけ,立憲,3,,
68,近畿,櫻井 周,@sakurai_shu,衆議院議員 桜井シュウ（立憲民主党）,3944,1119,@user-xj9cu1td5p,桜井シュウ,138,124,https://sakuraishu.net/,1970年8月16日,1,,さくらい しゅう,立憲,2,,
69,南関東,櫻田 義孝,@ysakurada,桜田　義孝💙💛,11400,220,,,,,https://sakurada-yoshitaka.jp/,1949年12月20日,1,,さくらだ よしたか,自民,8,,
70,北海道,佐藤 英道,@hidemichisato,佐藤英道　衆議院議員,4426,1374,,,,,http://kmplan.net/usr/sato/,1960年9月26日,1,,さとう ひでみち,公明,4,,
71,北関東,沢田 良,@saitama_ishin,埼玉の沢田良,9689,632,@user-ki5fc4qv3z,埼玉の沢田良（衆議院議員）,1500,30,https://t.co/BV06VrdfMF,1979年9月27日,1,,さわだ りょう,維新,1,,
72,南関東,志位 和夫,@shiikazuo,志位和夫,228500,0,,,,,https://www.shii.gr.jp/,1954年7月29日,1,,しい かずお,共産,10,,
73,北関東,塩川 鉄也,@ShiokawaTetsuya,塩川鉄也,14400,486,,,,,http://www.shiokawa-tetsuya.jp/,1961年12月18日,1,,しおかわ てつや,共産,8,,
74,東海,塩谷 立,@shionoya_ryu,塩谷立,1685,66,@user-hp5ci7ez8r,塩谷立公式チャンネル,32,9,https://t.co/51WIE7EwHV,1950年2月18日,1,,しおのや りゅう,自民,10,,
75,北陸信越,篠原 孝,@rTSBOJK8DmTkbbl,篠原孝,19,3,,,,,https://www.shinohara21.com/blog/,1948年7月17日,1,,しのはら たかし,立憲,7,,
76,東北,庄子 賢一,@shoji_kenichi,庄子賢一 衆議院議員 (比例東北),2857,1713,,,,,https://www.shoji-kenichi.com/index.html,1963年2月8日,1,,しょうじ けんいち,公明,1,,
77,四国,白石 洋一,@shiraishiyoichi,"白石よういち 衆議院議員(愛媛2区・四国中央市,新居浜市,西条市,今治市,上島町)",1899,2496,@yoichishiraishi,"白石洋一 衆議院議員【愛媛2区】今治市,上島町,西条市,新居浜市,四国中央市",235,114,https://www.shiraishi.cc/,1963年6月25日,1,,しらいし よういち,立憲,3,,
78,九州,末次 精一,@suechandesu,すえつぐ精一　立憲民主党 衆議院議員,1003,566,@user-vf7so7ru1x,末次精一,122,0,https://suetsugu-seiichi.com/,1962年12月2日,1,,すえつぐ せいいち,立憲,1,,
79,中国,杉田 水脈,@miosugita,杉田 水脈,357500,733,@miosugita3893,杉田水脈チャンネルMio's 動画ニュース,33300,99,https://sugitamio.net/,1967年4月22日,2,,すぎた みお,自民,3,,
80,東海,杉本 和巳,@sugichannet,杉本かずみ,784,1541,@sugimotokazumi_shugiin,【杉本和巳】@衆議院,177,87,https://sugimoto-kazumi.com/,1960年9月17日,1,,すぎもと かずみ,維新,4,,
81,南関東,鈴木 敦,@suzukiatsushi_,鈴木あつし｜国民民主党・衆議院議員【神奈川18区（川崎市中原区・高津区）】,2951,173,@user-uk1ml5qe2y,衆議院議員 鈴木あつし | 国民民主党内最年少国会議員,140,33,https://t.co/IsMxSYd0MS,1988年12月15日,1,,すずき あつし,国民,1,,
82,北海道,鈴木 貴子,@_SuzukiTakako_,衆議院議員 鈴木貴子/SUZUKI Takako,13400,959,,,,,https://www.suzukitakako.jp/,1986年1月5日,2,,すずき たかこ,自民,4,,
83,東京,鈴木 庸介,@20161023yousuke,鈴木ようすけ【公式】立憲民主党 (東京10区 衆議院選挙区),2217,861,@user-ts6wd8gg4f,鈴木ようすけ 公式チャンネル,58,33,https://yosukesuzuki.net/,1975年11月21日,1,,すずき ようすけ,立憲,1,,
84,北関東,鈴木 義弘,@yosshisuzuki,鈴木よしひろ,93,5,@suzukiyoshihiro01,Yoshihiro Suzuki,20,54,https://yosshisuzuki.com/,1962年11月10日,1,,すずき よしひろ,国民,3,,
85,近畿,住吉 寛紀,@sumiyoshi0124,住吉ひろき（衆議院議員/姫路市）,1042,1005,@user-em4se3uz8r,住吉寛紀,4,0,https://www.sumiyoshihiroki0124.com/,1985年1月24日,1,,すみよし ひろき,維新,1,,
86,四国,瀬戸 隆一,@setotakakazu,せと隆一（香川二区）,2974,904,@setojapan55,瀬戸隆一,39,12,https://www.setojapan.jp/,1965年8月2日,1,,せと たかかず,自民,3,,
87,中国,空本 誠喜,@seiki_soramoto,空本誠喜（そらもと せいき）衆議院議員《広島４区》,1973,2164,,,,,http://www.soramoto.com/,1964年3月11日,1,,そらもと せいき,維新,2,,
88,中国,高階 恵美子,@TakagaiEmiko,たかがい恵美子🦅😌,4115,1305,@TakagaiEmiko,たかがい恵美子,193,122,https://www.takagai-emiko.net/,1963年12月21日,2,,たかがい えみこ,自民,1,,
